Transaction Date,Name,Title,Buy/Sell,Number of Shares,Average Share Price,Total Transaction,Details
7/10/2024,Kate Thomson,Insider,Buy,5,GBX 454,"GBX 2,270",
6/10/2024,Kate Thomson,Insider,Buy,7,GBX 463,"GBX 3,241",
6/5/2024,Hina Nagarajan,Insider,Buy,"5,000",GBX 460,"£23,000",
5/10/2024,Kate Thomson,Insider,Buy,5,GBX 504,"GBX 2,520",
4/10/2024,Murray Auchincloss,Insider,Buy,72,GBX 517,£372.24,
3/11/2024,Kate Thomson,Insider,Buy,5,GBX 472,"GBX 2,360",
"Get Insider Trades Delivered To Your InboxEnter your email address below to receive a concise daily summary of insider buying activity, insider selling activity and changes in hedge fund holdings.",,,,,,,
2/12/2024,Kate Thomson,Insider,Buy,5,GBX 478,"GBX 2,390",
1/10/2024,Murray Auchincloss,Insider,Buy,82,GBX 459,£376.38,
12/11/2023,Murray Auchincloss,Insider,Buy,80,GBX 468,£374.40,
11/22/2023,Hina Nagarajan,Insider,Buy,"10,000",GBX 470,"£47,000",
11/10/2023,Murray Auchincloss,Insider,Buy,78,GBX 475,£370.50,
10/31/2023,Murray Auchincloss,Insider,Buy,"3,614",GBX 249,"£8,998.86",
10/10/2023,Murray Auchincloss,Insider,Buy,72,GBX 520,£374.40,
9/11/2023,Murray Auchincloss,Insider,Buy,73,GBX 517,£377.41,
8/10/2023,Bernard Looney,Insider,Buy,63,GBX 493,£310.59,
