Notification date,Transaction date,Company,Transaction type,Insider and/or position,,Number of shares,Price,Value,Details
2024-02-01,2024-02-01,Advance ZincTek Ltd (ANO),Purchase,"LEV MIZIKOVSKY
Director",,"10,000",1.05,"AUD 10,500",
2024-01-31,2024-01-31,LIONTOWN RESOURCES LIMITED (LTR),Sale,"Tony Ottaviano
Director",,"1,278,783",0.58,"AUD 739,009",
2024-01-31,2024-01-31,Apollo Minerals Ltd (AON),Purchase,"Paul Roberts
Director",,"800,000",0.03,"AUD 20,000",
2024-01-31,2024-01-31,Advance ZincTek Ltd (ANO),Purchase,"LEV MIZIKOVSKY
Director",,"573,329",1.05,"AUD 601,995",
2024-01-30,2024-01-30,LUNNON METALS LIMITED (LM8),Purchase,"Edmund Ainscough
Director",,"250,000",0.30,"AUD 75,802",
2024-01-30,2024-01-30,Advance ZincTek Ltd (ANO),Purchase,"LEV MIZIKOVSKY
Director",,967,10.46,"AUD 10,115",
2024-01-31,2024-01-29,HORSESHOE METALS LIMITED (HOR),Sale,"Alan Still
Director",,"500,000",0.01,"AUD 2,500",
2024-01-30,2024-01-29,PACT GROUP HOLDINGS LTD (PGH),Purchase,"Raphael Geminder
Director",,"920,087",0.84,"AUD 772,873",
2024-01-30,2024-01-29,NEUROTECH INTERNATIONAL LIMITED (NTI),Purchase,"Thomas Duthy
Director",,"340,000",0.09,"AUD 30,820",
2024-01-30,2024-01-29,NEUROTECH INTERNATIONAL LIMITED (NTI),Purchase,"Thomas Duthy
Director",,"340,000",0.09,"AUD 30,820",
2024-01-30,2024-01-29,LUNNON METALS LIMITED (LM8),Purchase,"Ashley McDonald
Director",,"167,000",0.30,"AUD 50,100",
2024-01-30,2024-01-29,HEAVY MINERALS LIMITED (HVY),Purchase,"Aaron Williams
Director",,"10,000",0.10,"AUD 1,000",
2024-01-30,2024-01-29,FLAGSHIP INVESTMENTS LIMITED (FSI),Purchase,"Emmanuel Clive Pohl
Director",,"85,000",1.81,"AUD 153,425",
2024-01-30,2024-01-29,Australian Foundation Investment Company Ltd (AFI),Purchase,"Mr Richard Murray
Director",,"7,000",7.47,"AUD 52,318",
2024-01-30,2024-01-29,ATTURRA LIMITED (ATA),Purchase,"Shan Shamsher Kanji
Director",,"10,752,003",0.80,"AUD 8,601,602",
2024-01-29,2024-01-29,OMNI BRIDGEWAY LIMITED (OBL),Purchase,"Raymond van Hulst
Director",,"505,642",3.41,"AUD 1,724,239",
2024-01-31,2024-01-25,TORO ENERGY LIMITED (TOE),Purchase,"Michel Marier
Director",,"90,434",0.45,"AUD 41,089",
2024-01-31,2024-01-25,SENSORE LTD. (S3N),Purchase,"ROBERT WILLIAM PECK
Director",,"500,000",0.05,"AUD 25,000",
2024-01-31,2024-01-25,SENSORE LTD. (S3N),Purchase,"RICHARD JAMES TAYLOR
Director",,"250,000",0.05,"AUD 12,500",
2024-01-31,2024-01-25,SENSORE LTD. (S3N),Purchase,"ADRIAN PHILLIP MANGER
Director",,"1,600,000",0.05,"AUD 80,000",
2024-01-30,2024-01-25,Schrole Group Ltd (SCL),Purchase,"Mr Guy Perkins
Director",,"50,000",0.20,"AUD 10,000",
2024-01-30,2024-01-25,LUNNON METALS LIMITED (LM8),Purchase,"Deborah Lord
Director",,"32,200",0.62,"AUD 19,972",
