Notification date,Transaction date,Company,Transaction type,Insider and/or position,,Number of shares,Price,Value,Details
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"5,000 +5.1%",0.65,"CAD 3,250",
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"23,000 +30.9%",0.64,"CAD 14,720",
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"5,000 +7.2%",0.62,"CAD 3,100",
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"7,000 +11.2%",0.61,"CAD 4,270",
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"9,000 +16.8%",0.60,"CAD 5,400",
2024-07-28,2024-07-26,Titan Logix Corp (TLA),Purchase,"Tasker, Robert
Director of Issuer
Non-Executive Director",,"1,000 +1.9%",0.59,CAD 590,
2024-07-28,2024-07-26,Thunder Gold Corp (TGOL),Purchase,"Strashin, Elliot
10% Security Holder of Issuer, Director of Issuer, Senior Officer of Issuer
Executive Director Large shareholder",,"38,000 +0.2%",0.03,"CAD 1,140",
2024-07-28,2024-07-26,Jemtec Inc (JTC),Purchase,"Crossett, Paul
10% Security Holder of Issuer
Large shareholder",,500 +0.2%,0.70,CAD 350,
2024-07-28,2024-07-26,Darelle Online Solutions Inc (DAR),Sale,"Bethune, Dean
Senior Officer of Issuer
Officer",,"250,000 -3.5%",0.02,"CAD 3,750",
2024-07-28,2024-07-26,Commander Resources Ltd (CMD),Purchase,"Macdonald, Brandon
Director of Issuer
Non-Executive Director",,"42,000 +5.3%",0.09,"CAD 3,570",
