Notification date,Transaction date,Company,Transaction type,Insider and/or position,,Number of shares,Price,Value,Details
2024-07-29,2024-07-26,Fashionette AG (FSNT),Purchase,"Benner, Dr. Dominik Pasqual
Management Board Member",,"1,000",8.69,"EUR 100,000",
2024-07-29,2024-07-26,sino AG (XTP),Purchase,"Through MMI Leisure & Capital Management GmbH, a person closely affiliated to an insider",,"1,000",54.00,"EUR 100,000",
2024-07-29,2024-07-26,sino AG (XTP),Purchase,"Through MMI Leisure & Capital Management GmbH, a person closely affiliated to an insider",,"1,000",54.00,"EUR 100,000",
2024-07-26,2024-07-25,LPKF Laser & Electronics AG (LPK),Purchase,"Fiedler, Dr. Klaus
Management Board Member",,"2,499",8.00,"EUR 19,992",
2024-07-25,2024-07-25,FCR Immobilien AG (FC9),Purchase,"Through RAT Asset & Trading GmbH, a person closely affiliated to an insider",,"1,000",9.75,"EUR 9,754",
2024-07-26,2024-07-24,Mountain Alliance AG (ECF),Sale,"Through Tiburon Unternehmensaufbau GmbH, a person closely affiliated to an insider",,"60,000",3.00,"EUR 180,000",
2024-07-26,2024-07-24,NFON AG (NFN),Purchase,"Müller, Günter
Supervisory Board Member",,"1,000",6.15,"EUR 6,150",
2024-07-26,2024-07-24,NFON AG (NFN),Purchase,"Müller, Günter
Supervisory Board Member",,"20,138",6.14,"EUR 123,646",
2024-07-25,2024-07-24,Nanorepro AG (NN6),Purchase,"Stiller, Dr. Olaf
Supervisory Board Member",,"1,763",1.86,"EUR 3,279",
2024-07-24,2024-07-24,Nanorepro AG (NN6),Purchase,"Jüngst, Lisa
Management Board Member",,"11,700",1.86,"EUR 21,762",
2024-07-24,2024-07-23,learnd SE,Purchase,"Rühl, Gisbert
Supervisory Board Member",,25,8.20,EUR 205,
2024-07-24,2024-07-23,Tonkens Agrar AG (GTK),Purchase,"Through Tonkens Holding GmbH, a person closely affiliated to an insider",,"7,224",7.00,"EUR 50,568",
2024-07-24,2024-07-23,Nanorepro AG (NN6),Purchase,"Jüngst, Lisa
Management Board Member",,800,1.88,"EUR 1,504",
2024-07-24,2024-07-23,Nanorepro AG (NN6),Purchase,"Stiller, Dr. Olaf
Supervisory Board Member",,"3,811",1.86,"EUR 7,088",
2024-07-23,2024-07-23,Nanorepro AG (NN6),Purchase,"Stiller, Dr. Olaf
Supervisory Board Member",,"10,807",1.87,"EUR 20,208",
2024-07-24,2024-07-22,FCR Immobilien AG (FC9),Purchase,"Through RAT Asset & Trading GmbH, a person closely affiliated to an insider",,"3,514",9.50,"EUR 33,383",
2024-07-23,2024-07-22,FCR Immobilien AG (FC9),Purchase,"Raudies, Falk
Management Board Member",,"3,514",9.50,"EUR 33,383",
2024-07-23,2024-07-22,learnd SE,Purchase,"Rühl, Gisbert
Supervisory Board Member",,25,8.75,EUR 219,
2024-07-22,2024-07-22,Rubean AG (R1B),Purchase,"Through BMK Holding GmbH, a person closely affiliated to an insider",,700,5.95,"EUR 4,165",
2024-07-23,2024-07-19,Netfonds AG (NF4),Sale,"Through KD Investment & Consulting GmbH, a person closely affiliated to an insider",,"21,000",43.00,"EUR 903,000",
2024-07-23,2024-07-19,Sartorius Aktiengesellschaft,Purchase,"Kappich, Dr. Lothar Ewald
Supervisory Board Member",,400,173.35,"EUR 69,340",
2024-07-23,2024-07-19,Sartorius Aktiengesellschaft,Purchase,"Kappich, Dr. Lothar Ewald
Supervisory Board Member",,200,209.20,"EUR 41,840",
2024-07-22,2024-07-19,7C Solarparken AG (HRPK),Purchase,"De Proost, Steven
Management Board Member",,"10,000",2.24,"EUR 22,400",
2024-07-22,2024-07-19,FCR Immobilien AG (FC9),Purchase,"Through RAT Asset & Trading GmbH, a person closely affiliated to an insider",,"1,453",9.47,"EUR 13,756",
2024-07-22,2024-07-19,Tonkens Agrar AG (GTK),Purchase,"Through Tonkens Holding GmbH, a person closely affiliated to an insider",,"2,000",7.00,"EUR 14,000",
2024-07-22,2024-07-18,Tonkens Agrar AG (GTK),Purchase,"Through Tonkens Holding GmbH, a person closely affiliated to an insider",,776,6.80,"EUR 5,277",
2024-07-18,2024-07-17,Cantourage Group SE (HIGH),Sale,"Through PiFriva Verwaltungs- und Beteiligungs-GmbH, a person closely affiliated to an insider",,"70,000",2.00,"EUR 140,000",
2024-07-18,2024-07-17,Rheinmetall AG (RHM),Purchase,"Papperger, Armin Theodor
Management Board Member",,202,495.00,"EUR 99,990",
2024-07-17,2024-07-17,Fielmann AG (FIE),Purchase,"Bätjer, Steffen
Management Board Member",,"1,000",42.50,"EUR 42,500",
2024-07-22,2024-07-16,FCR Immobilien AG (FC9),Purchase,"Through RAT Asset & Trading GmbH, a person closely affiliated to an insider",,33,9.20,EUR 304,
2024-07-16,2024-07-15,Medondo Holding AG (AMI),Purchase,"Müller, Ulrich
Supervisory Board Member",,"100,000",1.00,"EUR 100,000",
2024-07-16,2024-07-15,Tonkens Agrar AG (GTK),Purchase,"Through Tonkens Holding GmbH, a person closely affiliated to an insider",,"9,000",7.00,"EUR 63,000",
2024-07-16,2024-07-15,Medondo Holding AG (AMI),Purchase,"Müller, Ulrich
Supervisory Board Member",,"150,000",1.00,"EUR 150,000",
2024-07-15,2024-07-15,Fashionette AG (FSNT),Purchase,"Benner, Dr. Dominik Pasqual
Management Board Member",,"7,000",9.24,"EUR 64,680",
2024-07-16,2024-07-12,FCR Immobilien AG (FC9),Purchase,"Through RAT Asset & Trading GmbH, a person closely affiliated to an insider",,592,9.70,"EUR 5,742",
2024-07-16,2024-07-12,ProCredit Holding AG (PCZ),Purchase,"Felice, Dr. Gian Marco
Management Board Member",,417,8.96,"EUR 3,738",
2024-07-16,2024-07-12,ProCredit Holding AG (PCZ),Purchase,"Dagrosa, Christian
Management Board Member",,396,8.96,"EUR 3,546",
2024-07-16,2024-07-12,ProCredit Holding AG (PCZ),Purchase,"Joleska Popovska, Jovanka
Supervisory Board Member",,168,8.96,"EUR 1,509",
2024-07-16,2024-07-12,ProCredit Holding AG (PCZ),Purchase,"Chatzis, Georgios
Management Board Member",,363,8.96,"EUR 3,253",
